source_id,volume,chapter,source_location,topic,status,distinct_variants,same_type_reinforcement,training_units_including_source
GQ-I-3.1-3,I,3,PDF 物理页 121--122，印刷页 106--107,5 Å 电子势阱的前三个能级与跃迁波长,严格闭合,2,1,4
GQ-I-3.1-4,I,3,PDF 物理页 122，印刷页 107,核尺度质子势阱与 2→1 跃迁光子,严格闭合,2,1,4
GQ-I-3.1-5,I,3,PDF 物理页 122--123，印刷页 107--108,细胞尺度大分子的能级与准连续极限,严格闭合,2,1,4
GQ-I-3.1T-1,I,3,PDF 物理页 124--125，印刷页 109--110,三角形初态：归一化修订、本征态展开与时间演化,严格闭合,2,1,4
GQ-I-3.1T-2,I,3,PDF 物理页 124--128，印刷页 109--113,抛物线初态：归一化、能谱、平均能量与复现,严格闭合,2,1,4
GQ-I-3.2-1,I,3,PDF 物理页 133--134，印刷页 118--119,半无限深势阱的束缚态数目和阱深范围,严格闭合,2,1,4
GQ-I-3.5-A,I,3,PDF 物理页 149--150，印刷页 134--135,矩形势垒 WKB 穿透率：电子与质子对比,严格闭合,2,1,4
GQ-I-3.5-B,I,3,PDF 物理页 150--152，印刷页 135--137,铀-238 alpha 衰变、Gamow 因子与寿命口径,严格闭合,2,1,4
GQ-I-3.6-1,I,3,PDF 物理页 156--158，印刷页 141--143,双吸引 delta 势阱的束缚态与临界条件,严格闭合,2,1,4
GQ-I-3.6-2,I,3,PDF 物理页 157--159，印刷页 142--144,三重吸引 delta 势阱的久期方程、因式分解与三根,严格闭合,2,1,4
GQ-I-4.1-A,I,4,PDF 物理页 167--168，印刷页 152--153,量子共振腔的本征根与边界匹配,严格闭合,2,1,4
GQ-I-4.1-B,I,4,PDF 物理页 168--170，印刷页 153--155,量子共振腔的振幅增强与共振根,严格闭合,2,1,4
GQ-I-4.2,I,4,PDF 物理页 171--175，印刷页 156--160,均匀电场中的线性势、Airy 方程与经典对应,严格闭合,2,1,4
GQ-I-4.3-A,I,4,PDF 物理页 176--181，印刷页 161--166,低势垒双势阱的偶奇匹配与能级,严格闭合,2,1,4
GQ-I-4.3-B,I,4,PDF 物理页 181--183，印刷页 166--168,双势阱参数连续变化与极限,严格闭合,2,1,4
GQ-I-4.4-A,I,4,PDF 物理页 183--188，印刷页 168--173,高势垒双势阱的近简并能级,严格闭合,2,1,4
GQ-I-4.4-B,I,4,PDF 物理页 188--190，印刷页 173--175,左右局域态的量子振荡周期,严格闭合,2,1,4
GQ-I-4.5-A,I,4,PDF 物理页 190--193，印刷页 175--178,Pöschl--Teller 势 λ=1 的束缚态,严格闭合,2,1,4
GQ-I-4.5-B,I,4,PDF 物理页 193--195，印刷页 178--180,Pöschl--Teller 势 λ=2 的束缚态,严格闭合,2,1,4
GQ-I-4.5-C,I,4,PDF 物理页 193--196，印刷页 178--181,Pöschl--Teller 散射与无反射性质,严格闭合,2,1,4
GQ-I-4.6,I,4,PDF 物理页 196--201，印刷页 181--186,tanh 光滑势阶跃的精确反射趋势,严格闭合,2,1,4
GQ-I-4.7,I,4,PDF 物理页 202--205，印刷页 187--190,共轭链粒子箱吸收谱及数值一致性诊断,严格闭合,2,1,4
GQ-I-4.8-A,I,4,PDF 物理页 205--207，印刷页 190--192,场发射三角势垒与 Fowler--Nordheim WKB 指数,严格闭合,2,1,4
GQ-I-4.8-B,I,4,PDF 物理页 209--210，印刷页 194--195,核聚变 Coulomb 势垒与 Gamow 因子,严格闭合,2,1,4
GQ-I-5.1-1,I,5,PDF 物理页 218--219，印刷页 203--204,由级数递推证明 Hermite 多项式显式式,严格闭合,2,1,4
GQ-I-5.1-2,I,5,PDF 物理页 220，印刷页 205,证明 Hermite 导数递推与最高阶导数,严格闭合,2,1,4
GQ-I-5.2-1,I,5,PDF 物理页 222，印刷页 207,H2 振动频率、能级间隔与红外光子,严格闭合,2,1,4
GQ-I-5.2-2,I,5,PDF 物理页 226--227，印刷页 211--212,直接代入高斯基态求基态能量,严格闭合,2,1,4
GQ-I-5.2-3,I,5,PDF 物理页 228--231，印刷页 213--216,经典禁区概率与量子--经典对应,严格闭合,2,1,4
GQ-I-5.2-4,I,5,PDF 物理页 232，印刷页 217,宏观弹簧振子的量子数与能级相对间隔,严格闭合,2,1,4
GQ-I-5.2-5,I,5,PDF 物理页 232--233，印刷页 217--218,朴素驻波条件估计谐振子能量并诊断误差,严格闭合,2,1,4
GQ-I-5.2-6,I,5,PDF 物理页 234--236，印刷页 219--221,叠加态的时间演化、平均位置与能量,严格闭合,2,1,4
GQ-I-5.4-1,I,5,PDF 物理页 241，印刷页 226,升算符构造第一激发态并归一化,严格闭合,2,1,4
GQ-I-5.4-2,I,5,PDF 物理页 244，印刷页 229,用显式 Hermite 波函数验证降算符关系,严格闭合,2,1,4
GQ-I-5.4-3,I,5,PDF 物理页 245--246，印刷页 230--231,带电谐振子在匀强电场中的位移与能谱,严格闭合,2,1,4
GQ-I-6.1-1,I,6,PDF 物理页 247--249，印刷页 232--234,Lennard--Jones 势的平衡点、曲率、两体约化质量与 Ne 二聚体能级,严格闭合,2,1,4
GQ-I-6.2-1,I,6,PDF 物理页 249--251，印刷页 234--236,Morse 势的谐振近似及 H2 频率与基态能量,严格闭合,2,1,4
GQ-I-6.2-2,I,6,PDF 物理页 251--255，印刷页 236--240,Morse 势精确谱、有限束缚态数及物理定义域,严格闭合,2,1,4
GQ-I-6.2-3,I,6,PDF 物理页 256，印刷页 241,H2 基频跃迁、相邻能级差修订与波长,严格闭合,2,1,4
GQ-I-6.3-1,I,6,PDF 物理页 256--258，印刷页 241--243,三角型 Pöschl--Teller 势阱的极小点与谐振近似,严格闭合,2,1,4
GQ-I-6.3-2,I,6,PDF 物理页 258--260，印刷页 243--245,三角型 Pöschl--Teller 势阱的精确能谱和本征函数,严格闭合,2,1,4
GQ-I-6.3-3,I,6,PDF 物理页 260--262，印刷页 245--247,大 λ 谐振极限与 λ→1+ 无限深阱极限,严格闭合,2,1,4
GQ-I-6.4-1,I,6,PDF 物理页 262--263，印刷页 247--248,位移高斯态的本征态展开、Poisson 分布与平均能量,严格闭合,2,1,4
GQ-I-6.4-2,I,6,PDF 物理页 263--264，印刷页 248--249,相干波包刚性振荡、最小不确定度与频率单位修订,严格闭合,2,1,4
GQ-I-6.5-1,I,6,PDF 物理页 265--266，印刷页 250--251,Lennard--Jones 力曲线、AFM 工作区与悬臂稳定性,严格闭合,2,1,4
